word,colour,stim_condition,correct_res,thisN,thisTRIALN,thisREPN,word,word,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,intro.started,intro.stopped,instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,,Congruent,Incongruent
,,,,,,,,,,,,,,,,,0.007594625,0.013492333,1.027539416,0.996862166,,,,,,,,,,,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,,
BLUE,blue,C,b,0,0,0,b,1,0.874480624,None,0,0,0,3,1.027539416,,,,,,1.019670166,1.027539416,1.499363333,1.499363333,1.499363333,2.581608041,b,1,0.874480624,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.874480624,
BLUE,red,I,r,1,1,0,r,1,0.542960249,None,0,1,1,2,2.589887708,,,,,,2.581917291,2.589887708,3.082309458,3.082309458,3.082309458,3.631268083,r,1,0.542960249,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.455724125,0.542960249
RED,blue,I,b,2,2,0,b,1,0.382387875,None,0,2,2,1,3.6478015,,,,,,3.639231,3.6478015,4.136005291,4.136005291,4.136005291,4.525488708,b,1,0.382387875,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.370693041,0.382387875
RED,red,C,r,3,3,0,r,1,0.455724125,None,0,3,3,0,4.5365295,,,,,,4.526761875,4.5365295,5.022640291,5.022640291,5.022640291,5.481330833,r,1,0.455724125,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.430872041,0.411907083
BLUE,blue,C,b,4,0,1,b,1,0.370693041,None,1,0,4,3,5.493639208,,,,,,5.486268291,5.493639208,5.981720208,5.981720208,5.981720208,6.358250833,b,1,0.370693041,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.422436499,0.372236833
BLUE,red,I,r,5,1,1,r,1,0.411907083,None,1,1,5,2,6.3692665,,,,,,6.359385875,6.3692665,6.856499125,6.856499125,6.856499125,7.275520958,r,1,0.411907083,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.301145916,0.445522332
RED,blue,I,b,6,2,1,b,1,0.372236833,None,1,2,6,1,7.289211,,,,,,7.28065125,7.289211,7.773149541,7.773149541,7.773149541,8.147917458,b,1,0.372236833,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.340230416,0.525531749
RED,red,C,r,7,3,1,r,1,0.430872041,None,1,3,7,0,8.173550125,,,,,,8.149037291,8.173550125,8.64853075,8.64853075,8.64853075,9.091937583,r,1,0.430872041,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.675935707,0.298408708
BLUE,red,I,r,8,0,2,r,1,0.445522332,None,2,0,8,2,9.104812333,,,,,,9.096525875,9.104812333,9.589904875,9.589904875,9.589904875,10.0424,r,1,0.445522332,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.358151791,0.366734457
RED,red,C,r,9,1,2,r,1,0.422436499,None,2,1,9,0,10.06414783,,,,,,10.04753646,10.06414783,10.53997433,10.53997433,10.53997433,10.96495854,r,1,0.422436499,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.403721416,0.364421666
RED,blue,I,b,10,2,2,b,1,0.525531749,None,2,2,10,1,10.99024867,,,,,,10.96605517,10.99024867,11.46574633,11.46574633,11.46574633,11.99854567,b,1,0.525531749,None,,,,,802013,1,2025-08-23_14h19.01.070,stroop final,,2025.1.1,None,2025-08-23 14h19.13.883030 +0530,,,,0.346488124,0.351233583
